OBJECTID,NOM_POBLAD,FUENTE,CÓDIGO,CAT_POBLAD,DIST,PROV,Departamento,CÓD_INT,CATEGORIA,X,Y,N_BUSQDA,DEP_NORM,n_hospitales_10km
124247,TORRES CAUSANA,IGN,1601100004,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1868,Centro Poblado Menor,-75.00602,-75.00602,TORRES CAUSANA,LORETO,0
124248,VENCEDORES,IGN,1601100005,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1868,Centro Poblado Menor,-75.03226,-75.03226,VENCEDORES,LORETO,0
124249,GUAJOYA,INEI,1601100006,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.89213,-74.89213,GUAJOYA,LORETO,0
124250,ESTIRON,INEI,1601100007,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.87229,-74.87229,ESTIRON,LORETO,0
124251,URPI ISLA,IGN,1601100008,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.99851,-74.99851,URPI ISLA,LORETO,0
124252,PINTUYACU,INEI,1601100009,ANEXO,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.95766,-74.95766,PINTUYACU,LORETO,0
124253,YARINA LLACTA,IGN,1601100010,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.7022,-74.7022,YARINA LLACTA,LORETO,0
124254,TUPAC AMARU,INEI,1601100011,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.81461,-74.81461,TUPAC AMARU,LORETO,0
124255,TEMPESTAD,IGN,1601100012,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.88488,-74.88488,TEMPESTAD,LORETO,0
124256,CHINGANA,IGN,1601100013,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.74473,-74.74473,CHINGANA,LORETO,0
124257,SANTA MARIA DE ANGOTERO,INEI,1601100014,OTROS,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.90738,-74.90738,SANTA MARIA DE ANGOTERO,LORETO,0
124258,SANTA MARÍA,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1968,Centro Poblado Menor,-74.64611,-74.64611,SANTA MARÍA,LORETO,0
124259,PUERTO HERMOZA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2168,Centro Poblado Menor,-73.89824,-73.89824,PUERTO HERMOZA,LORETO,0
124260,YARICAYA,IGN,1601090017,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.35469,-74.35469,YARICAYA,LORETO,0
124261,PUERTO ARGELIA,INEI,1601090018,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.33342,-74.33342,PUERTO ARGELIA,LORETO,0
124262,IPIRANGA,IGN,1601090019,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.29553,-74.29553,IPIRANGA,LORETO,0
124263,PUERTO PALESTINA (VICTORIA),INEI,1601090020,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.29086,-74.29086,PUERTO PALESTINA (VICTORIA),LORETO,0
124264,MASHUNTA,IGN,1601090021,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.34826,-74.34826,MASHUNTA,LORETO,0
124265,NUEVO BELEN,INEI,1601090022,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1969,Centro Poblado Menor,-74.7514,-74.7514,NUEVO BELEN,LORETO,0
124266,NUEVA ANGUSILLA,INEI,1601090023,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.3213,-74.3213,NUEVA ANGUSILLA,LORETO,0
124267,SANTA RITA,INEI,1601090024,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1969,Centro Poblado Menor,-74.54165,-74.54165,SANTA RITA,LORETO,0
124268,PANTOJA,IGN,1601100001,PUEBLO,TORRES CAUSANA,MAYNAS,LORETO,1869,Capital de Distrito,-75.1809,-75.1809,PANTOJA,LORETO,0
124269,ISANGO,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.41483,-74.41483,ISANGO,LORETO,0
124270,VENTURA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.37455,-74.37455,VENTURA,LORETO,0
124271,NUEVA ESPERANZA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.25593,-74.25593,NUEVA ESPERANZA,LORETO,0
124272,PUERTO  YUBINETO,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.26947,-74.26947,PUERTO  YUBINETO,LORETO,0
124273,CLAVERO,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1869,Centro Poblado Menor,-75.25988,-75.25988,CLAVERO,LORETO,0
124274,CASTAÑA,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1869,Centro Poblado Menor,-75.23936,-75.23936,CASTAÑA,LORETO,0
124275,SIETE,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1869,Centro Poblado Menor,-75.21973,-75.21973,SIETE,LORETO,0
124276,AGUARICO,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1869,Centro Poblado Menor,-75.23036,-75.23036,AGUARICO,LORETO,0
124277,YASUNI,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1869,Centro Poblado Menor,-75.38367,-75.38367,YASUNI,LORETO,0
124278,ARCADIA,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1869,Centro Poblado Menor,-75.31135,-75.31135,ARCADIA,LORETO,0
124279,PACORA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.43812,-74.43812,PACORA,LORETO,0
124280,ANGUSILLA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.32455,-74.32455,ANGUSILLA,LORETO,0
124281,PUERTO PROVIDENCIA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,2069,Centro Poblado Menor,-74.29806,-74.29806,PUERTO PROVIDENCIA,LORETO,0
124282,TENIENTE GARCIA,IGN,1601090002,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1770,Centro Poblado Menor,-75.60344,-75.60344,TENIENTE GARCIA,LORETO,0
124283,CABO REYES,IGN,1601090003,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.4597,-75.4597,CABO REYES,LORETO,0
124284,NUEVO PERU,IGN,1601090004,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.31986,-75.31986,NUEVO PERU,LORETO,0
124285,GUEPPI,IGN,1601090005,CASERÍO,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.24728,-75.24728,GUEPPI,LORETO,0
124286,TRES FRONTERAS,IGN,1601090006,CASERÍO,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.22743,-75.22743,TRES FRONTERAS,LORETO,0
124287,PUERTO LIBERTAD,INEI,1601090007,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.02347,-75.02347,PUERTO LIBERTAD,LORETO,0
124288,FUNDO JONAS HUAYANAY,IGN,1601090008,UNID. AGROPECUARIA,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.09187,-75.09187,FUNDO JONAS HUAYANAY,LORETO,0
124289,PUERTO LUPITA,IGN,1601090009,CASERÍO,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.05387,-75.05387,PUERTO LUPITA,LORETO,0
124290,SARGENTO TEJADA,IGN,1601090010,CASERÍO,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.76194,-74.76194,SARGENTO TEJADA,LORETO,0
124291,MIRAFLORES,IGN,1601090011,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.75185,-74.75185,MIRAFLORES,LORETO,0
124292,NUEVO PENELLA,IGN,1601090012,CASERÍO,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.73333,-74.73333,NUEVO PENELLA,LORETO,0
124293,SANTA TERESA,IGN,1601090013,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.84559,-74.84559,SANTA TERESA,LORETO,0
124294,PENEITA,IGN,1601090014,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.73468,-74.73468,PENEITA,LORETO,0
124295,SOPLIN VARGAS,IGN,1601090015,CASERÍO,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.67304,-74.67304,SOPLIN VARGAS,LORETO,0
124296,PUERTO VELIZ,IGN,1601090016,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2070,Centro Poblado Menor,-74.49546,-74.49546,PUERTO VELIZ,LORETO,0
124297,LA YARUMOSA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.87363,-74.87363,LA YARUMOSA,LORETO,0
124298,PV. CABO MINACHO,IGN,,,PUTUMAYO,MAYNAS,LORETO,1770,Centro Poblado Menor,-75.52305,-75.52305,PV. CABO MINACHO,LORETO,0
124299,SANTA ROSA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.86817,-74.86817,SANTA ROSA,LORETO,0
124300,LIBERTAD,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1970,Centro Poblado Menor,-74.84979,-74.84979,LIBERTAD,LORETO,0
124301,PUERTO PERU,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.27748,-75.27748,PUERTO PERU,LORETO,0
124302,CONSTANCIA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.15354,-75.15354,CONSTANCIA,LORETO,0
124303,ZUÑIGA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.13623,-75.13623,ZUÑIGA,LORETO,0
124304,COLMENA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.12432,-75.12432,COLMENA,LORETO,0
124305,FIRMEZA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.12395,-75.12395,FIRMEZA,LORETO,0
124306,AGUAS NEGRAS,IGN,,,TORRES CAUSANA,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.33107,-75.33107,AGUAS NEGRAS,LORETO,0
124307,TAMBO NUEVO,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.14721,-75.14721,TAMBO NUEVO,LORETO,0
124308,ANGUSILLA,IGN,,,PUTUMAYO    1/,MAYNAS,LORETO,1870,Centro Poblado Menor,-75.12023,-75.12023,ANGUSILLA,LORETO,0
124309,PUERTO ISLANDIA,INEI,,,PADRE MARQUEZ,UCAYALI,LORETO,,,-74.93831,-74.93831,,LORETO,0
124310,SAN GERONIMO,INEI,,,PADRE MARQUEZ,UCAYALI,LORETO,,,-74.76129,-74.76129,,LORETO,0
124311,PAOYHAN,INEI,,,PADRE MARQUEZ,UCAYALI,LORETO,,,-74.998,-74.998,,LORETO,0
124312,NUEVA SOLEDAD,INEI,,,PADRE MARQUEZ,UCAYALI,LORETO,,,-74.85395,-74.85395,,LORETO,0
124313,NUEVO PALESTINA,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.33089,-75.33089,,LORETO,0
124314,NUEVO JERUSALEN,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.33574,-75.33574,,LORETO,0
124315,NUEVO NAZARET,INEI,,,PADRE MARQUEZ,UCAYALI,LORETO,,,-74.99025,-74.99025,,LORETO,0
124316,NUEVA CUNSHAMAY,INEI,,,PADRE MARQUEZ,UCAYALI,LORETO,,,-74.98772,-74.98772,,LORETO,0
124317,NUEVA GALILEA,INEI,,,PADRE MARQUEZ,UCAYALI,LORETO,,,-75.0095,-75.0095,,LORETO,0
124318,SANTA ROSA DE PISQUI,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.15726,-75.15726,,LORETO,0
124319,FRAY MARTIN DE PISQUI,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.1439,-75.1439,,LORETO,0
124320,NUEVO AMANECER,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.04654,-75.04654,,LORETO,0
124321,MONTE DE CION,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.0292,-75.0292,,LORETO,0
124322,NUEVO SAN ROQUE,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.00887,-75.00887,,LORETO,0
124323,SAN JUAN DE CHIATIPISHCA,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.32056,-75.32056,,LORETO,0
